session,id,title,url,authors,summary
B1:計算・形式言語学(1)3月11日（火） 8:30-10:00   B会場(1F会議室102),B1-5,日本語話し言葉における形態素の出現数に対する統計的不定性の評価,/proceedings/annual_meeting/2025/pdf_dir/B1-5.pdf,"○田窪 洋介 (新居浜高専/KEK), 浅原 正幸 (国語研/総研大), 山崎 誠 (国語研)",自然言語と言語モデルの一致度合いを定量的に評価するためには，事前準備として自然言語のデータ点に付随する統計的不定性を正確に評価しておくことが前提となる．本研究では，日本語話し言葉における形態素の出現数に対する不定性（修正誤差）を評価した．そして，修正誤差とポアソン誤差をデータに付与した場合のZipf 則との一致度合いについて，𝜒2 検定とKS (Kolmogorov-Smirnov) 検定で定量的に比較した．
B1:計算・形式言語学(1)3月11日（火） 8:30-10:00   B会場(1F会議室102),B1-6,証明ステップの逆形式化とステップ間の構造解析を通じた形式証明の自然言語翻訳,/proceedings/annual_meeting/2025/pdf_dir/B1-6.pdf,"○服部 清志, 松崎 拓也, 藤原 誠 (東京理科大)",自動形式化とは、自然言語で書かれた数学証明を機械検証可能な形式証明に自動翻訳する技術のことである。この技術は近年の大規模言語モデルの発展に伴って盛んに研究されているが、学習に用いる自然言語証明-形式証明ペアデータの不足が課題となっている。本研究ではLLM の逆形式化能力を活用した形式証明の自然言語翻訳手法を提案する。また、自然言語証明の表現に沿って作成した形式証明データに対して本手法を適用し、生成された自然言語証明の品質を分析及び評価する。
C1:言語資源・アノテーションと評価3月11日（火） 8:30-10:00   C会場(1F会議室103),C1-1,Toward Argument Structure Parsing in German: A Rule-Based Approach with Linguistic Annotations,/proceedings/annual_meeting/2025/pdf_dir/C1-1.pdf,"○◊Hiroyuki Miyashita (KGU), Julian Michael Stawecki (HHU)","This paper introduces a novel system for the automatic identification of argument structures in German sentenc-es. Our approach addresses the complexities of German syntax, including flexible word order, rich morphological inflection, and diverse clause types. We leverage spaCy’s German language models, which provide com-prehensive pipelines for tagging, morphological analysis, parsing, and lemmatization. By combining the model outputs with linguistic rules, we have implemented a rule-based approach for argument structure identifica-tion. To evaluate our system, we created a gold-standard dataset through a systematic annotation process in which annotators validated and refined initial parser outputs. Beyond argument extraction, our parser identifies the main verb of each (sub-)clause, classifies the genus verbi (active/passive), and determines clause types (e.g., main clauses, various subordinate clauses). This work lays a foundation for large-scale corpus-based investigations of argument structures in German, enabling more compre-hensive linguistic analyses."
C1:言語資源・アノテーションと評価3月11日（火） 8:30-10:00   C会場(1F会議室103),C1-2,日本語創造性ベンチマークの構築,/proceedings/annual_meeting/2025/pdf_dir/C1-2.pdf,"○福田 創, 小川 隼斗, 堀尾 海斗, 河原 大輔 (早大), 柴田 知秀 (SB Intuitions)",大規模言語モデル（LLM）の創造性を評価するために，Japanese Creativity Questions (JCQ)，DivergentAssociation Task (DAT)，そしてStory Alteration Task(SAT) という3 つのベンチマークを構築する. JCQでは，LLM を用いて創造性を包括的に評価する. 一方，DAT とSAT では，埋め込みを用いて，創造的能力の一面を測定する. さらに，JCQ とDAT，およびJCQ とSAT の間の相関を分析する. JCQ は網羅的な評価ができるが，比較的時間とコストがかかる. 一方，DAT とSAT は網羅性が低いが，迅速に評価できる.
C1:言語資源・アノテーションと評価3月11日（火） 8:30-10:00   C会場(1F会議室103),C1-3,The KISTEC: 日本の大学生の発話データに基づく英語学習者話し言葉コーパスの構築,/proceedings/annual_meeting/2025/pdf_dir/C1-3.pdf,"○神澤 克徳 (京工繊大), 瀬戸口 彩花 (京大), 田中 悠介 (福岡大), 近 大志 (京大), 小林 雄一郎 (日大), 光永 悠彦 (名大), 森 真幸 (京工繊大), 李 在鎬 (早大)",本稿では，The KIT Speaking Test Corpus（以下，KISTEC と表記）の設計と仕様について報告する．KISTEC は日本の大学生英語学習者が受験したスピーキングテストの解答音声を基に構築した約30万語規模の話し言葉コーパスであり，書き起こしテキストとアノテーションから構成される．各種タグだけでなく，学習者の属性や，全体およびタスクごとのスコアを参照できるため，個人差やタスク特性を考慮した発話の分析を可能とする．KISTEC はL2話者の非流暢性現象を自動検出するBERT モデルの性能評価にも使われており[1]，NLP 研究への応用も十分に可能である．
C1:言語資源・アノテーションと評価3月11日（火） 8:30-10:00   C会場(1F会議室103),C1-4,SNSからの重要意見抽出のためのデータセット構築及びLLMによる分類検証,/proceedings/annual_meeting/2025/pdf_dir/C1-4.pdf,"○矢口 一晟 (明大), 櫻井 恵里子 (産能大), 櫻井 義尚 (明大)",本研究では，重要意見抽出のためのデータセット構築および大規模言語モデル（以下：LLM）を用いた重要意見抽出の手法を提案し，その有効性を検証した．そこで，人間がラベリングを実施せずにSNSから企業がマーケティング活動に必要となる重要意見抽出モデルが構築可能であることを示す．これにより，重要意見データセットの作成や抽出にかかる時間的かつ金銭的コストの削減が期待できる．データセットの構築検証ではワークショプを開催することで重要意見に関連する議論を実施し学生による重要意見データの作成が可能であるかを検証した．また重要意見の抽出検証では，LLM によるZero-shot分類および擬似データを作成した後，ファインチューニングによる重要意見分類の精度を比較した．
C1:言語資源・アノテーションと評価3月11日（火） 8:30-10:00   C会場(1F会議室103),C1-5,Swallowコーパスv2: 教育的な日本語ウェブコーパスの構築,/proceedings/annual_meeting/2025/pdf_dir/C1-5.pdf,"○服部 翔 (科学大/産総研/NII), 岡崎 直観, 水木 栄, 藤井 一喜, 中村 泰士, 大井 聖也 (科学大/産総研), 塩谷 泰平, 齋藤 幸史郎, Youmi Ma, 前田 航希, 岡本 拓己, 石田 茂樹 (科学大), 横田 理央 (科学大/産総研), 高村 大也 (産総研)",大規模言語モデル（LLM）の事前学習では，高品質なテキストを用いることが望ましい．本研究では，文書の「教育的価値」に着目した2 種類の軽量な分類器を構築して，各文書に品質スコアを付与し，大規模日本語ウェブコーパスから高品質なテキストを抽出する手法を提案する．実験により，提案手法を適用することで，同等の学習計算規模で日本語の知識に関するLLM の能力をより効率的に向上できることを示した．また，分類器の特性比較，ヒューリスティック・ルールの調整，学習のエポック数を増やす実験などを通じて，提案手法の実用性やLLM 構築の最良慣行について検証する．
C1:言語資源・アノテーションと評価3月11日（火） 8:30-10:00   C会場(1F会議室103),C1-6,『日本経済新聞記事オープンコーパス』と『日本語話し言葉コーパス』語義と読みの対応表の作成,/proceedings/annual_meeting/2025/pdf_dir/C1-6.pdf,"○大井 恵奈, 古宮 嘉那子 (農工大), 柏野 和佳子, 浅原 正幸 (国語研/総研大)",本研究では，日本経済新聞記事オープンコーパス，日本語話し言葉コーパスを対象とし，読みと意味の対応表作成のための情報付与を行い，データ整備を行う．日本経済新聞記事オープンコーパスには，語義情報が付与されているものの，読み情報が付与されていなかったため，専門家による読みのアノテーションを行った．日本語話し言葉コーパスは，話し言葉の書き起こしであるため，読み情報は正確であったが，語義情報はついていないため，語義曖昧性解消システムを利用して語義データを付与した．以上のデータから，読みと意味の対応表を作成し，関係性について調査する．
D1:機械学習3月11日（火） 8:30-10:00   D会場(1F会議室107),D1-1,ガウス過程による埋め込み点集合の時間遷移のモデル化,/proceedings/annual_meeting/2025/pdf_dir/D1-1.pdf,"○相田 太一 (都立大), 小町 守 (一橋大), 小木曽 智信 (国語研), 高村 大也 (産総研), 持橋 大地 (統数研/国語研)",単語の意味は時間とともに変化することがある．近年では，この時間的変動を捉えるため，埋め込み空間上で用例集合を分析する研究が数多く行われてきた．同様の時間的変動は，生態系の生息分布や社会学の犯罪発生分布など，他の多くの分野にも存在する．しかし，このような点集合の動的な変化は非常に複雑であり，解析が困難だという問題がある．本研究では，ガウス過程を用いて点集合を一つの複雑な分布として表現し，それを周波数空間の実ベクトルとしてコンパクトに表すことで，点集合の時間遷移を解析する手法を提案する．提案手法で単語の意味変化を分析し，応用例として社会学の空間データにも適用することで，その有用性を確認した．
D1:機械学習3月11日（火） 8:30-10:00   D会場(1F会議室107),D1-2,Transformerデコーダモデルを利用した日本語意味役割において，特徴量抽出位置およびAttention Maskの形状が与える影響,/proceedings/annual_meeting/2025/pdf_dir/D1-2.pdf,"○曽和 晃太郎, 竹内 孔一 (岡山大)",2022 年のChatGPT 登場以降，多くの大規模言語モデルが提供されているが，それらの多くがTransformer のデコーダモデルを採用している．一方，意味役割付与タスクでは依然としてTransformerエンコーダモデルが主導している現状がある．本研究では，Transformer デコーダモデルを利用した日本語意味役割付与タスクにおいて，精度向上に寄与する特徴量の位置およびAttention Mask の形状を検討し，ベースラインモデルとの比較実験を行った．EOS，LA，PS，PS-Attn. の4 つの手法を提案し，PSとPS-Attn. でベースラインモデルと比較してF1 値における大幅な精度の向上を示した．
D1:機械学習3月11日（火） 8:30-10:00   D会場(1F会議室107),D1-3,Enhancing Fake News Detection through Consistency Contrastive Learning with MLP-Mixer,/proceedings/annual_meeting/2025/pdf_dir/D1-3.pdf,"○Shaodong Cui, Wen Ma, Hiroyuki Shinnou (茨大)","Detecting and ﬁltering false information has become acritical area of academic research with the rapid spreadof multimodal fake news on major social media platforms.However, eﬀectively integrating diverse feature types forreliable fake news detection remains challenging. To ad-dress this, we propose a novel fake news detection modelbased on consistency contrastive learning. Our model usesan MLP-mixer to extract features, and consistency con-trastive learning to measure the semantic distance betweentext features and text attribute features. This approach en-hances the MLP-mixer’s ability to extract consistent high-level features. Experimental results on the LIAR datasetdemonstrate that our proposed model outperforms existingmethods in detecting fake news."
D1:機械学習3月11日（火） 8:30-10:00   D会場(1F会議室107),D1-4,ベイズ教師なし文境界認識,/proceedings/annual_meeting/2025/pdf_dir/D1-4.pdf,"内海 慶 (SB Intuitions), ○持橋 大地 (統数研/国語研)","文を単位とする言語現象を捉えるためには文分割(文境界認識) が必要となるが, 実際に我々が扱うことが多い崩れたテキストには無数の文末表現があり, 通常の教師あり学習で正しく分割することは難しい. 本研究では, 文分割をテキストの文字毎に存在する, 二値潜在変数の推定問題ととらえる. セミマルコフモデルの枠組みで動的計画法とMCMC 法を組み合わせることにより, 単純な文字𝑛グラム言語モデルを用いるだけで, 最新の大規模言語モデルによるヒューリスティックな文分割を超える, 最高精度の文分割を教師なし学習で行えることを示す."
D1:機械学習3月11日（火） 8:30-10:00   D会場(1F会議室107),D1-5,テキストの埋め込み表現に基づくデータ増強を用いた X（旧 Twitter）における日本語の皮肉検出,/proceedings/annual_meeting/2025/pdf_dir/D1-5.pdf,"○中井 紫音, 宮本 友樹, 内海 彰 (電通大)",近年，数多くのSNS が存在する中でX（旧Twitter）を対象とした皮肉判定の研究が活発に行われている．日本語の皮肉分類器の性能向上を図る手段の一つとしてデータ増強の適用が考えられるが，皮肉表現はその特性上，文章内の特定の単語を置き換えるとたとえわずかな変更であっても元の皮肉性が失われ，皮肉でなくなる（分類ラベルが反転する）可能性がある．本稿では，データ増強の際にノイズを加える箇所をTransformer のAttention を用いて選定するという，皮肉判定に特化したデータ増強を通じて皮肉分類器の性能向上を図る手法を提案する．本手法は既存手法やGPT を用いたデータ増強手法と比べ，正解率，F 値にともに高い性能を示した.
D1:機械学習3月11日（火） 8:30-10:00   D会場(1F会議室107),D1-6,大規模言語モデルに対するチューニング手法の調査：内部のアクセス性に基づく分類と比較,/proceedings/annual_meeting/2025/pdf_dir/D1-6.pdf,"○中島 京太郎, 金 輝燦, 平澤 寅庄, 榎本 大晟 (都立大), 陳 宙斯, 小町 守 (一橋大)",言語モデルを特定のタスクに対して最適化するチューニング手法は現在多くの場面で用いられている．チューニングには言語モデル内部のパラメータを更新する手法や，入力文を更新する手法など様々なアプローチが存在する．これらのチューニング手法は対象の言語モデルの内部のアクセス性によって使用できる手法が異なる．本研究では言語モデルのアクセス性に応じて分類されたチューニング手法を多角的に比較することで，それらの特徴や傾向を分析する．
E1:テーマセッション6: 人文学と言語処理(1)3月11日（火） 8:30-10:00   E会場(1F会議室108),E1-1,クレオールは計量的に峻別できるか？,/proceedings/annual_meeting/2025/pdf_dir/E1-1.pdf,"○川崎 義史 (東大), 永田 亮 (甲南大), 高村 大也 (産総研), 大谷 直輝 (東京外大)",本稿は、テキストデータから求めた指標の大小でクレオールと非クレオールを峻別できるか検証した。データとして、いずれの言語においても同一内容が保証されている聖書を用いた。実験の結果、両者を峻別こそできないが、複数の指標で大別することができた。これは、クレオールが非クレオールとは異なる性質を保有している可能性を示唆している。また、部分的に単純説を支持する結果を得た。
E1:テーマセッション6: 人文学と言語処理(1)3月11日（火） 8:30-10:00   E会場(1F会議室108),E1-2,対象言語・対象単語を選ばない汎用的な文法化度の定量化手法,/proceedings/annual_meeting/2025/pdf_dir/E1-2.pdf,"○永田 亮 (甲南大), 持橋 大地 (統数研), 井戸 美里, 窪田 悠介 (国語研), 高村 大也 (産総研), 川崎 義史 (東大), 大谷 直輝 (東京外大)",文法化とは内容語が機能語に変わる通時変化のことである．本稿では，文法化の度合いをコーパスデータに基づいて定量化する三種類の手法を提案する．提案手法は従来手法と異なり汎用性が高いにもかかわらず，人手の分析で得られた文法化度と中程度～高い相関を示す．また，提案手法を歴史コーパスに適用して文法化の一方向仮説の吟味を行う．
E1:テーマセッション6: 人文学と言語処理(1)3月11日（火） 8:30-10:00   E会場(1F会議室108),E1-3,文書筆記過程の分析に関わる墨跡の濃淡変化箇所推定手法の性能評価,/proceedings/annual_meeting/2025/pdf_dir/E1-3.pdf,"○ゴー チュイリン, 中尾 泰士 (北九大)",墨によって書かれた文書は，墨の濃淡情報を用いることで，その文書が作成された筆記過程を分析できる可能性がある．われわれは，墨の濃淡情報を時系列データとして分析し，墨が徐々に薄くなって，再び濃くなった箇所を筆に墨を含めなおした点として推定する手法を考えた．この手法による分析結果を人の眼で判断した正解と比較検討することで，われわれの手法の性能評価を行なった．
E1:テーマセッション6: 人文学と言語処理(1)3月11日（火） 8:30-10:00   E会場(1F会議室108),E1-4,大規模言語モデルを用いた発掘調査報告書からの考古学情報抽出,/proceedings/annual_meeting/2025/pdf_dir/E1-4.pdf,"○山本 湧大 (早大), 武内 樹治 (奈文研), 大内 啓樹 (NAIST), 高田 祐一 (奈文研)",遺跡の発掘調査後に作成される発掘調査報告書には、出土した遺物や遺構をはじめとする重要な考古学情報が含まれている。しかし、全国の発掘調査報告書を合算すると、その数は膨大であり、人手で全てを読み解くことは困難である。そこで本研究では、発掘調査報告書から自動的に考古学情報に関する記述（出土した遺物や遺構、それらの時代や数など）を抽出する手法を検討した。まず、奈良文化財研究所が公開している発掘調査報告書のPDF を対象に、考古学情報と判断される表現に対して人手でアノテーションを施し、評価データセットを構築した。構築したデータセットに対して、ChatGPT を利用して考古学表現の抽出し、その性能を評価した。精度(Precision) が17 ％前後、再現率(Recall)が30 ％程度という結果となり、まだ改善の余地が大きいことが明らかになった。
E1:テーマセッション6: 人文学と言語処理(1)3月11日（火） 8:30-10:00   E会場(1F会議室108),E1-5,近世・近代・現代日本語テキストに対する場所参照表現抽出,/proceedings/annual_meeting/2025/pdf_dir/E1-5.pdf,"○片山 歩希 (NAIST), 東山 翔平 (NICT/NAIST/国語研), 大内 啓樹 (NAIST/理研/国語研), 坂井 優介 (NAIST), 竹内 綾乃 (国文研), 坂東 諒 (国語研), 橋本 雄太 (歴博), 小木曽 智信 (国語研), 渡辺 太郎 (NAIST)",歴史的テキストからの場所参照表現の抽出は，大規模な史料に対する人文学的分析を支援するための基礎技術として重要である．本研究では，近代・近世の日本語テキストを用いたデータセットを構築し，これら歴史的テキストに対するTransformer 言語モデルの抽出精度を調査した．実験から，現代語ラベル付きデータの活用の有効性を確認した一方で，歴史的テキストへの適応には，さらなるモデルの改善が必要であることも示された．
E1:テーマセッション6: 人文学と言語処理(1)3月11日（火） 8:30-10:00   E会場(1F会議室108),E1-6,スタイロメトリによるコプト語文献の著者帰属の再検討,/proceedings/annual_meeting/2025/pdf_dir/E1-6.pdf,"○宮川 創 (筑波大), Eliese-Sophia Lincke (ベルリン自由大), Heike Behlmer (ゲッティンゲン大)","本稿では，コプト語説教文書「On Christian Be-haviour」(OCB) の著者帰属を，スタイロメトリ（文体統計学）を用いて再検討する．OCB は写本題辞で修道院長シェヌーテ（Shenoute, 紀元後4～5 世紀）の名を冠するが，実際にはシェヌーテの特徴である修道士向けの規律に関する厳しい忠告や厳しい断罪が乏しく，早くから「偽シェヌーテ文書」と疑われてきた．本研究では，OCB のK. H. Kuhn の校訂版テキストと，白修道院文学（シェヌーテ, ベーサ, ヨハンネス）および新約聖書，コプト語聖人伝，新学書，説教などを対象に，R 言語のstylo パッケージを用いて文体比較を行った．結果として，OCB がシェヌーテの著作群よりも新約聖書の書簡のクラスタに近いという従来の示唆を定量的に裏付け，OCB を「偽シェヌーテ文書」の範疇に位置づける客観的根拠を提供した．"
P1:ポスター3月11日（火） 8:30-10:00   P会場(2Fコンベンションホール3+4),P1-1,訳出の同時性に特化した評価データを用いた同時音声翻訳モデルの評価と分析,/proceedings/annual_meeting/2025/pdf_dir/P1-1.pdf,"○蒔苗 茉那, 坂井 優介, 上垣外 英剛, 渡辺 太郎 (NAIST)",同時音声翻訳は，原言語文のセグメント化や目的言語文を原言語文の語順に近づけることで，低遅延と高品質の両立を目指してきた．しかし，既存の評価データは語順の並び替えを多く含むため，低遅延の同時音声翻訳評価に適していない．本研究では，目的言語文が原言語文の単語・句の並びになるべく沿うような語順の単調性に焦点を当てた新しい評価データを提案する．実験の結果から，提案評価データsimul-tst-COMMON は，既存の評価データよりも適切にモデルの性能評価ができることを示した．
P1:ポスター3月11日（火） 8:30-10:00   P会場(2Fコンベンションホール3+4),P1-2,大規模反応データベースを用いた文字列化した化学反応の基盤モデル構築,/proceedings/annual_meeting/2025/pdf_dir/P1-2.pdf,"○佐川 達也, 小島 諒介 (京大)",化学反応の高精度な予測は，実験を行う前に実験結果の予測ができることから，創薬をはじめとする分野で実験コストの削減の視点から注目されている．これまでに化学反応予測モデルの開発は活発に行われてきたが，利用可能な学習データが限られていたことから，分布外データへのモデルの微調整（ファインチューニング）を想定した事前学習モデルに関する研究は限定的であった．本研究では，大規模化学反応データベースを用いた事前学習を通じて化学反応基盤モデルを構築した．本モデルを活用することで，従来のモデルと比較して非常に少ないファインチューニングデータで，優れた予測性能を実現できることを示した．
P1:ポスター3月11日（火） 8:30-10:00   P会場(2Fコンベンションホール3+4),P1-3,情報抽出による質の高い新規用途アイデアの獲得,/proceedings/annual_meeting/2025/pdf_dir/P1-3.pdf,"○谷口 友紀, 高橋 拓誠, 大熊 智子 (旭化成)",近年，材料の用途探索に自然言語処理を活用する取り組みが広がっている．材料固有の特性を発揮させる使用法が用途であることから，用途探索は，材料の特性が発揮できる用途を探し出すタスクとなる．本論文では，材料固有の特性に類似する特性エンティティを含む文書を検索したのち，特性エンティティに関係する用途エンティティを同文書中から取得することにより，材料特性を活かした用途アイデアの獲得手法を提案する．さらに本論文では，提案手法で獲得した用途アイデアを対象に専門家による新規性と実現性の評価を実施し，その有効性を確認する．
